group_name,app_name,platform,country,language,create_datediff,orders
base,ms,android,R,s,31-90day,58391
base,tv,android,E,n,>90day,58165
base,tv,android,D,n,31-90day,58072
base,ms,android,R,o,>90day,57437
this,ms,android,R,o,>90day,57398
this,ms,android,R,t,8-30day,57250
base,tv,android,N,i,>90day,57172
this,tv,android,N,i,>90day,55999
this,tv,android,E,n,>90day,55264
this,ms,android,E,n,31-90day,54720
this,ms,android,S,n,8-30day,53837
this,ms,android,R,t,1-7day,53750
base,ms,android,S,n,0day,53011
this,ms,android,U,u,1-7day,51795
base,ms,android,S,n,8-30day,51708
base,ms,android,G,n,0day,50900
this,ms,android,K,n,31-90day,50432
this,ms,android,S,n,1-7day,50171
base,tv,android,D,n,8-30day,49929
base,ms,android,S,s,>90day,49164
base,ms,android,H,h,31-90day,48319
this,ms,android,S,s,>90day,48281
base,ms,android,U,u,8-30day,47074
base,ms,android,R,t,1-7day,46812
this,ms,android,U,u,8-30day,45879
base,tv,android,N,n,8-30day,45212
base,ms,android,U,u,1-7day,44734
this,ms,ios,N,i,>90day,44565
base,ms,ios,E,r,1-7day,43561
this,tv,android,D,n,8-30day,43084
base,ms,ios,N,i,>90day,42888
this,tv,android,N,n,8-30day,42583
base,ms,android,O,s,8-30day,42194
this,ms,android,N,r,>90day,42163
base,ms,android,N,r,>90day,42113
this,ms,android,H,h,31-90day,41598
base,ms,android,W,n,>90day,41506
base,ms,android,X,s,8-30day,41469
base,tv,android,U,u,>90day,41150
this,tv,android,U,u,>90day,41123
this,ms,android,W,n,>90day,40414
this,ms,android,O,s,8-30day,39577
this,ms,android,X,s,8-30day,39137
this,ms,android,K,r,31-90day,39103
base,ms,android,s,n,>90day,39041
base,tv,android,R,t,>90day,39005
this,ms,android,R,s,31-90day,38884
this,ms,android,X,s,1-7day,38302
this,ms,android,s,n,>90day,37927
this,tv,android,R,t,>90day,37620
base,ems,android,N,i,>90day,37604
this,ms,android,O,s,1-7day,37281
this,ms,android,E,n,8-30day,36927
this,ms,android,E,r,>90day,36503
base,ms,ios,H,n,>90day,36325
base,ms,android,E,r,>90day,36324
this,ms,ios,H,n,>90day,36215
base,ms,ios,S,n,0day,36087
this,ems,android,N,i,>90day,36065
base,ms,android,E,n,8-30day,35196
base,ms,android,N,r,>90day,34811
base,ems,android,H,h,1-7day,34794
this,ms,android,N,r,>90day,34765
base,ms,android,H,h,8-30day,34111
base,ms,android,R,t,0day,33505
base,ms,android,X,s,1-7day,33505
base,ms,android,E,n,1-7day,33393
base,ms,android,U,u,0day,32534
base,si,android,D,n,>90day,32205
this,ms,android,T,t,31-90day,32111
base,ms,android,O,s,1-7day,32096
this,ms,android,Y,s,31-90day,31699
this,ms,ios,E,r,8-30day,31417
this,ms,android,D,n,8-30day,30666
this,tv,android,K,n,>90day,29848
base,ms,android,H,h,1-7day,29541
this,si,android,D,n,>90day,29479
base,ms,android,T,t,31-90day,29458
this,ms,android,H,h,8-30day,29310
base,ms,android,Y,n,>90day,29019
this,ms,android,Y,n,>90day,28974
this,tv,android,S,n,>90day,28756
base,tv,android,D,n,1-7day,28708
this,ems,android,H,h,8-30day,28647
this,ms,android,S,s,>90day,28531
base,ms,android,S,s,>90day,28520
base,ms,android,Y,s,31-90day,28430
this,ms,ios,E,n,>90day,28360
base,ms,android,D,n,8-30day,28203
this,ms,ios,E,r,1-7day,28173
base,tv,android,K,n,>90day,28009
base,tv,android,S,n,>90day,27989
base,ms,android,D,n,8-30day,27625
base,ems,android,N,i,31-90day,27573
base,ms,android,R,o,1-7day,27561
base,ms,android,R,r,8-30day,27510
this,ms,android,N,e,31-90day,27497
this,ms,ios,S,n,1-7day,27480
base,ms,android,T,t,8-30day,27396
this,ms,android,D,n,8-30day,27230
this,ms,android,R,r,31-90day,27029
base,ms,ios,E,n,>90day,26994
this,ms,android,H,h,1-7day,26946
base,ms,android,D,i,>90day,26688
base,ms,android,N,e,31-90day,26613
base,ms,android,Y,s,8-30day,26611
this,ms,android,D,n,1-7day,26142
this,ms,android,D,i,>90day,26138
base,ms,android,H,h,0day,25899
base,ms,android,N,l,31-90day,25628
this,ms,android,N,l,31-90day,25587
base,ms,android,D,n,1-7day,25294
this,ms,ios,N,i,1-7day,24619
this,ms,ios,N,i,8-30day,24596
base,ms,android,R,o,0day,24411
base,tv,android,D,n,>90day,24355
base,ms,android,E,n,0day,24350
base,ms,ios,S,n,1-7day,24265
this,tv,android,D,n,>90day,24123
base,ms,android,R,r,1-7day,23402
base,tv,android,X,s,>90day,23048
base,ms,android,X,s,0day,22686
this,ms,android,R,o,8-30day,22671
this,ms,ios,N,i,>90day,22496
this,tv,android,X,s,>90day,22463
base,tv,android,O,s,>90day,22266
base,tv,ios,N,n,>90day,22256
this,ms,android,R,r,1-7day,22202
base,ms,ios,N,i,>90day,22187
base,ms,android,O,s,0day,22169
this,tv,ios,N,n,>90day,21862
